transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0069,BILL-1013,03-01-2025,S1,Downtown,C094,Loyal,P301,Personal Care,Shampoo 250ml,1,1.91,Cash,1,In-store
TXN-2025-0070,BILL-1013,25-01-2025,S1,Downtown,C087,Loyal,P501,Snacks,Chocolate Bar,2,4.49,Credit Card,0,In-store
TXN-2025-0071,BILL-1013,17-01-2025,S3,Uptown,C075,New,P301,Personal Care,Shampoo 250ml,4,7.58,Cash,0.5,Online
TXN-2025-0072,BILL-1013,19-01-2025,S1,Downtown,C049,Regular,P101,Beverages,Orange Juice 1L,4,9.47,UPI,1,Online
TXN-2025-0073,BILL-1013,18-01-2025,S3,Uptown,C058,New,P301,Personal Care,Shampoo 250ml,1,6.96,Cash,0.5,Online
TXN-2025-0074,BILL-1013,02-01-2025,S1,Downtown,C113,Loyal,P210,Snacks,Nachos,5,4.16,Cash,1,In-store
TXN-2025-0075,BILL-1014,05-01-2025,S1,Downtown,C106,New,P101,Beverages,Orange Juice 1L,4,7.31,Cash,0,In-store
TXN-2025-0076,BILL-1014,03-01-2025,S1,Downtown,C115,New,P210,Snacks,Nachos,5,5.45,UPI,0.5,In-store
TXN-2025-0077,BILL-1014,31-01-2025,S1,Downtown,C126,Loyal,P210,Snacks,Nachos,1,8.82,Cash,0.5,Online
TXN-2025-0078,BILL-1014,24-01-2025,S2,Suburban,C138,New,P210,Snacks,Nachos,4,4.69,Cash,1,In-store
TXN-2025-0079,BILL-1014,26-01-2025,S2,Suburban,C012,Loyal,P205,Snacks,Potato Chips,1,4.95,Cash,0.5,Online
TXN-2025-0080,BILL-1014,19-01-2025,S1,Downtown,C015,Regular,P401,Beverages,Green Tea,4,4.81,Credit Card,0,In-store
TXN-2025-0081,BILL-1014,25-01-2025,S1,Downtown,C030,Regular,P102,Beverages,Soda 500ml,3,5.21,Credit Card,0,Online
TXN-2025-0082,BILL-1015,15-01-2025,S1,Downtown,C067,New,P301,Personal Care,Shampoo 250ml,1,7.88,UPI,0,In-store
TXN-2025-0083,BILL-1016,23-01-2025,S3,Uptown,C014,Loyal,P101,Beverages,Orange Juice 1L,5,3.01,Credit Card,0,Online
TXN-2025-0084,BILL-1017,15-01-2025,S2,Suburban,C085,Loyal,P210,Snacks,Nachos,2,6.03,UPI,0.5,In-store
TXN-2025-0085,BILL-1017,17-01-2025,S3,Uptown,C056,Loyal,P501,Snacks,Chocolate Bar,5,8.3,Credit Card,0.5,In-store
TXN-2025-0086,BILL-1017,15-01-2025,S3,Uptown,C066,Loyal,P303,Personal Care,Face Cream,1,6.82,UPI,0,Online
TXN-2025-0087,BILL-1017,04-01-2025,S1,Downtown,C146,New,P303,Personal Care,Face Cream,4,5.57,Credit Card,0,Online
TXN-2025-0088,BILL-1017,14-01-2025,S3,Uptown,C045,New,P501,Snacks,Chocolate Bar,4,6.46,Cash,0,In-store
TXN-2025-0089,BILL-1017,19-01-2025,S1,Downtown,C140,Loyal,P210,Snacks,Nachos,3,2.84,Cash,1,Online
TXN-2025-0090,BILL-1017,08-01-2025,S3,Uptown,C143,Loyal,P501,Snacks,Chocolate Bar,1,1.03,Cash,1,In-store
TXN-2025-0091,BILL-1017,18-01-2025,S3,Uptown,C006,Loyal,P303,Personal Care,Face Cream,2,5.6,UPI,1,In-store
TXN-2025-0092,BILL-1017,13-01-2025,S1,Downtown,C041,Regular,P101,Beverages,Orange Juice 1L,4,5.95,Credit Card,1,Online
TXN-2025-0093,BILL-1017,22-01-2025,S1,Downtown,C047,Loyal,P210,Snacks,Nachos,1,5.31,Credit Card,1,In-store
TXN-2025-0094,BILL-1017,24-01-2025,S2,Suburban,C090,Loyal,P401,Beverages,Green Tea,4,6.52,Credit Card,0.5,Online
TXN-2025-0095,BILL-1017,28-01-2025,S2,Suburban,C116,Loyal,P301,Personal Care,Shampoo 250ml,3,8.86,Credit Card,1,In-store
TXN-2025-0096,BILL-1018,30-01-2025,S3,Uptown,C024,Loyal,P101,Beverages,Orange Juice 1L,1,4.62,Credit Card,0.5,Online
TXN-2025-0097,BILL-1019,13-01-2025,S2,Suburban,C081,Regular,P102,Beverages,Soda 500ml,4,3.01,Cash,1,Online
TXN-2025-0098,BILL-1019,19-01-2025,S2,Suburban,C129,Loyal,P210,Snacks,Nachos,2,6.04,Credit Card,0.5,In-store
TXN-2025-0099,BILL-1019,26-01-2025,S1,Downtown,C058,New,P205,Snacks,Potato Chips,4,9.38,Credit Card,0,Online
TXN-2025-0100,BILL-1020,17-01-2025,S3,Uptown,C096,New,P102,Beverages,Soda 500ml,3,8.29,UPI,0,Online
TXN-2025-0101,BILL-1020,27-01-2025,S2,Suburban,C100,Loyal,P302,Personal Care,Body Wash,1,9.05,Cash,0,Online
TXN-2025-0102,BILL-1020,21-01-2025,S1,Downtown,C026,Regular,P501,Snacks,Chocolate Bar,4,9.23,Credit Card,1,Online
TXN-2025-0103,BILL-1020,16-01-2025,S1,Downtown,C070,Regular,P101,Beverages,Orange Juice 1L,2,8.86,UPI,0,In-store
TXN-2025-0104,BILL-1020,22-01-2025,S3,Uptown,C032,Loyal,P401,Beverages,Green Tea,5,5.25,UPI,1,In-store
TXN-2025-0105,BILL-1020,11-01-2025,S2,Suburban,C135,Regular,P205,Snacks,Potato Chips,5,5.1,Cash,0.5,In-store
TXN-2025-0106,BILL-1020,09-01-2025,S3,Uptown,C055,Loyal,P205,Snacks,Potato Chips,4,1.39,UPI,1,In-store
TXN-2025-0107,BILL-1020,15-01-2025,S1,Downtown,C131,Loyal,P401,Beverages,Green Tea,5,3.21,Credit Card,0.5,In-store
TXN-2025-0108,BILL-1020,16-01-2025,S2,Suburban,C114,New,P401,Beverages,Green Tea,2,3.62,UPI,0.5,Online
TXN-2025-0109,BILL-1020,08-01-2025,S3,Uptown,C001,Loyal,P210,Snacks,Nachos,3,2.66,Credit Card,0,In-store
TXN-2025-0110,BILL-1020,11-01-2025,S2,Suburban,C033,Loyal,P501,Snacks,Chocolate Bar,3,5.61,UPI,0.5,In-store
TXN-2025-0111,BILL-1021,03-01-2025,S3,Uptown,C064,Loyal,P401,Beverages,Green Tea,3,8.61,Credit Card,0.5,In-store
TXN-2025-0112,BILL-1021,30-01-2025,S3,Uptown,C052,Loyal,P401,Beverages,Green Tea,5,2.73,Credit Card,0.5,In-store
TXN-2025-0113,BILL-1022,27-01-2025,S3,Uptown,C023,Regular,P401,Beverages,Green Tea,4,1.41,UPI,0.5,Online
TXN-2025-0114,BILL-1023,18-01-2025,S3,Uptown,C048,Regular,P303,Personal Care,Face Cream,3,8.7,Credit Card,0,Online
TXN-2025-0115,BILL-1023,15-01-2025,S2,Suburban,C093,Loyal,P302,Personal Care,Body Wash,5,7.04,Credit Card,1,In-store
TXN-2025-0116,BILL-1023,26-01-2025,S1,Downtown,C066,Loyal,P401,Beverages,Green Tea,5,5.47,Credit Card,1,In-store
TXN-2025-0117,BILL-1023,20-01-2025,S1,Downtown,C029,New,P501,Snacks,Chocolate Bar,1,5.8,Cash,0,In-store
TXN-2025-0118,BILL-1024,13-01-2025,S3,Uptown,C034,New,P302,Personal Care,Body Wash,4,9.4,Cash,0,In-store
TXN-2025-0119,BILL-1024,03-01-2025,S3,Uptown,C017,Loyal,P301,Personal Care,Shampoo 250ml,3,8.24,Cash,0,Online
TXN-2025-0120,BILL-1024,01-01-2025,S3,Uptown,C030,New,P205,Snacks,Potato Chips,1,2.36,Cash,1,In-store
TXN-2025-0121,BILL-1024,10-01-2025,S1,Downtown,C006,New,P302,Personal Care,Body Wash,5,1.24,Cash,1,Online
TXN-2025-0122,BILL-1024,17-01-2025,S1,Downtown,C042,Regular,P101,Beverages,Orange Juice 1L,3,2.82,Credit Card,0.5,Online
TXN-2025-0123,BILL-1025,21-01-2025,S3,Uptown,C007,New,P101,Beverages,Orange Juice 1L,2,2.6,Credit Card,1,In-store
TXN-2025-0124,BILL-1025,21-01-2025,S3,Uptown,C130,Loyal,P102,Beverages,Soda 500ml,4,8.95,Cash,1,Online
TXN-2025-0125,BILL-1025,26-01-2025,S2,Suburban,C104,New,P301,Personal Care,Shampoo 250ml,5,9.02,Cash,1,In-store
TXN-2025-0126,BILL-1025,19-01-2025,S3,Uptown,C098,New,P210,Snacks,Nachos,1,9.68,Cash,0,Online
TXN-2025-0127,BILL-1025,20-01-2025,S3,Uptown,C097,New,P210,Snacks,Nachos,5,4.85,Credit Card,0.5,In-store
TXN-2025-0128,BILL-1025,20-01-2025,S2,Suburban,C090,New,P205,Snacks,Potato Chips,2,4.86,UPI,0.5,In-store
TXN-2025-0129,BILL-1025,22-01-2025,S3,Uptown,C041,Loyal,P301,Personal Care,Shampoo 250ml,2,2.54,Cash,0,Online
TXN-2025-0130,BILL-1025,01-01-2025,S3,Uptown,C036,Loyal,P401,Beverages,Green Tea,2,2.9,Credit Card,0.5,Online
TXN-2025-0131,BILL-1026,20-01-2025,S1,Downtown,C010,New,P501,Snacks,Chocolate Bar,2,5.7,Credit Card,0,In-store
TXN-2025-0132,BILL-1026,12-01-2025,S3,Uptown,C113,Loyal,P302,Personal Care,Body Wash,5,5.3,Credit Card,0.5,Online
TXN-2025-0133,BILL-1026,29-01-2025,S2,Suburban,C032,Regular,P205,Snacks,Potato Chips,5,5.5,Credit Card,0.5,Online
TXN-2025-0134,BILL-1026,08-01-2025,S3,Uptown,C009,New,P501,Snacks,Chocolate Bar,3,5.07,Cash,1,In-store
TXN-2025-0135,BILL-1026,10-01-2025,S1,Downtown,C132,Loyal,P210,Snacks,Nachos,1,5.76,Cash,1,Online
TXN-2025-0136,BILL-1026,10-01-2025,S1,Downtown,C091,New,P102,Beverages,Soda 500ml,3,9.37,UPI,1,Online
TXN-2025-0137,BILL-1026,18-01-2025,S3,Uptown,C011,Regular,P301,Personal Care,Shampoo 250ml,3,2.13,UPI,0.5,In-store
TXN-2025-0138,BILL-1026,08-01-2025,S2,Suburban,C132,Loyal,P501,Snacks,Chocolate Bar,2,2.03,Cash,0.5,In-store
TXN-2025-0139,BILL-1026,19-01-2025,S2,Suburban,C127,Regular,P205,Snacks,Potato Chips,1,1.42,UPI,0,In-store
TXN-2025-0140,BILL-1026,26-01-2025,S2,Suburban,C121,Regular,P101,Beverages,Orange Juice 1L,1,6.16,Cash,0,Online
TXN-2025-0141,BILL-1026,19-01-2025,S3,Uptown,C090,Loyal,P205,Snacks,Potato Chips,5,1.1,Credit Card,0.5,Online
TXN-2025-0142,BILL-1027,02-01-2025,S3,Uptown,C028,Regular,P303,Personal Care,Face Cream,3,9.74,Cash,1,Online
TXN-2025-0143,BILL-1027,18-01-2025,S1,Downtown,C018,Regular,P401,Beverages,Green Tea,3,9.19,UPI,0,In-store
TXN-2025-0144,BILL-1028,06-01-2025,S3,Uptown,C016,Regular,P101,Beverages,Orange Juice 1L,1,4.66,Cash,0.5,Online
TXN-2025-0145,BILL-1028,14-01-2025,S1,Downtown,C022,New,P102,Beverages,Soda 500ml,3,1.34,Credit Card,0.5,Online
TXN-2025-0146,BILL-1028,06-01-2025,S1,Downtown,C029,New,P302,Personal Care,Body Wash,5,8.88,UPI,0.5,Online
TXN-2025-0147,BILL-1028,12-01-2025,S3,Uptown,C057,Regular,P101,Beverages,Orange Juice 1L,5,1.86,Cash,0.5,In-store
TXN-2025-0148,BILL-1029,29-01-2025,S2,Suburban,C070,Regular,P401,Beverages,Green Tea,2,7.36,Credit Card,0.5,In-store
TXN-2025-0149,BILL-1029,18-01-2025,S1,Downtown,C008,Loyal,P101,Beverages,Orange Juice 1L,5,3.45,Cash,0,Online
TXN-2025-0150,BILL-1029,21-01-2025,S2,Suburban,C094,Loyal,P101,Beverages,Orange Juice 1L,2,2.63,UPI,1,Online
TXN-2025-0151,BILL-1029,25-01-2025,S1,Downtown,C138,Regular,P102,Beverages,Soda 500ml,1,7.18,Cash,1,In-store
TXN-2025-0152,BILL-1029,15-01-2025,S2,Suburban,C073,New,P210,Snacks,Nachos,3,6.47,Cash,1,Online
TXN-2025-0153,BILL-1029,29-01-2025,S3,Uptown,C004,New,P102,Beverages,Soda 500ml,3,9.23,Cash,0.5,In-store
TXN-2025-0154,BILL-1030,16-01-2025,S1,Downtown,C105,Loyal,P205,Snacks,Potato Chips,1,7.64,Credit Card,0.5,Online
TXN-2025-0155,BILL-1030,20-01-2025,S3,Uptown,C145,Loyal,P301,Personal Care,Shampoo 250ml,1,1.16,UPI,0,In-store
TXN-2025-0156,BILL-1031,19-01-2025,S1,Downtown,C008,Regular,P302,Personal Care,Body Wash,4,2.81,UPI,0.5,Online
TXN-2025-0157,BILL-1031,13-01-2025,S2,Suburban,C128,Regular,P303,Personal Care,Face Cream,3,5.42,UPI,1,In-store
TXN-2025-0158,BILL-1031,02-01-2025,S1,Downtown,C078,Loyal,P501,Snacks,Chocolate Bar,2,9.47,Credit Card,0.5,In-store
TXN-2025-0159,BILL-1031,12-01-2025,S1,Downtown,C035,Regular,P303,Personal Care,Face Cream,5,7.77,Credit Card,0.5,Online
TXN-2025-0160,BILL-1031,13-01-2025,S3,Uptown,C146,New,P303,Personal Care,Face Cream,4,1.74,Cash,1,In-store
TXN-2025-0161,BILL-1031,25-01-2025,S1,Downtown,C039,Loyal,P401,Beverages,Green Tea,5,9.06,Cash,1,Online
TXN-2025-0162,BILL-1032,04-01-2025,S1,Downtown,C080,Loyal,P501,Snacks,Chocolate Bar,2,5.57,UPI,0.5,Online
TXN-2025-0163,BILL-1033,10-01-2025,S3,Uptown,C011,Regular,P205,Snacks,Potato Chips,2,5.86,Cash,0,In-store
TXN-2025-0164,BILL-1033,10-01-2025,S3,Uptown,C107,Regular,P205,Snacks,Potato Chips,4,7.72,UPI,0,In-store
TXN-2025-0165,BILL-1034,28-01-2025,S3,Uptown,C087,New,P301,Personal Care,Shampoo 250ml,1,2.27,Cash,1,In-store
TXN-2025-0166,BILL-1034,06-01-2025,S1,Downtown,C067,Loyal,P205,Snacks,Potato Chips,2,8.41,Cash,0,Online
TXN-2025-0167,BILL-1034,01-01-2025,S2,Suburban,C088,Regular,P401,Beverages,Green Tea,2,9.47,Cash,1,Online
TXN-2025-0168,BILL-1034,04-01-2025,S3,Uptown,C086,Regular,P102,Beverages,Soda 500ml,1,9.17,UPI,1,In-store
TXN-2025-0169,BILL-1034,06-01-2025,S3,Uptown,C087,Loyal,P210,Snacks,Nachos,5,9.45,Credit Card,0.5,Online
TXN-2025-0170,BILL-1035,20-01-2025,S1,Downtown,C002,Loyal,P401,Beverages,Green Tea,1,2.33,UPI,0,Online
TXN-2025-0171,BILL-1035,27-01-2025,S3,Uptown,C029,Regular,P205,Snacks,Potato Chips,5,2.86,Cash,0,Online
TXN-2025-0172,BILL-1035,06-01-2025,S1,Downtown,C071,Regular,P101,Beverages,Orange Juice 1L,5,6.66,Cash,0,Online
TXN-2025-0173,BILL-1035,31-01-2025,S2,Suburban,C066,Loyal,P301,Personal Care,Shampoo 250ml,2,9.85,UPI,1,Online
TXN-2025-0174,BILL-1035,19-01-2025,S3,Uptown,C008,Regular,P101,Beverages,Orange Juice 1L,1,9.25,Credit Card,1,Online
TXN-2025-0175,BILL-1035,08-01-2025,S1,Downtown,C075,Loyal,P303,Personal Care,Face Cream,2,5.8,Cash,0.5,Online
TXN-2025-0176,BILL-1035,24-01-2025,S1,Downtown,C081,Regular,P401,Beverages,Green Tea,3,1.75,Credit Card,0.5,In-store
TXN-2025-0177,BILL-1036,28-01-2025,S2,Suburban,C088,Loyal,P401,Beverages,Green Tea,1,7.43,Cash,0.5,Online
TXN-2025-0178,BILL-1036,02-01-2025,S2,Suburban,C006,Regular,P301,Personal Care,Shampoo 250ml,5,7.89,Cash,1,Online
TXN-2025-0179,BILL-1036,01-01-2025,S3,Uptown,C018,New,P302,Personal Care,Body Wash,5,1,Cash,1,In-store
TXN-2025-0180,BILL-1036,06-01-2025,S3,Uptown,C141,New,P301,Personal Care,Shampoo 250ml,4,1.43,Credit Card,0.5,Online
TXN-2025-0181,BILL-1036,17-01-2025,S2,Suburban,C094,New,P102,Beverages,Soda 500ml,5,4,Credit Card,1,Online
TXN-2025-0182,BILL-1036,28-01-2025,S2,Suburban,C038,New,P205,Snacks,Potato Chips,4,6.68,Cash,0.5,In-store
TXN-2025-0183,BILL-1036,18-01-2025,S3,Uptown,C103,New,P205,Snacks,Potato Chips,1,6.49,Credit Card,0,Online
TXN-2025-0184,BILL-1036,23-01-2025,S3,Uptown,C123,New,P501,Snacks,Chocolate Bar,5,9.19,UPI,0,Online
TXN-2025-0185,BILL-1036,04-01-2025,S2,Suburban,C017,New,P101,Beverages,Orange Juice 1L,2,8.47,Credit Card,0.5,In-store
TXN-2025-0186,BILL-1037,31-01-2025,S2,Suburban,C134,New,P205,Snacks,Potato Chips,4,7.7,Credit Card,1,In-store
TXN-2025-0187,BILL-1037,12-01-2025,S2,Suburban,C081,Loyal,P303,Personal Care,Face Cream,4,8.96,Credit Card,0.5,In-store
TXN-2025-0188,BILL-1038,05-01-2025,S1,Downtown,C074,Loyal,P501,Snacks,Chocolate Bar,3,7.27,Credit Card,1,Online
TXN-2025-0189,BILL-1038,31-01-2025,S2,Suburban,C065,Loyal,P401,Beverages,Green Tea,1,2.31,Credit Card,1,In-store
TXN-2025-0190,BILL-1038,31-01-2025,S2,Suburban,C034,Regular,P205,Snacks,Potato Chips,2,3.59,UPI,1,In-store
TXN-2025-0191,BILL-1038,13-01-2025,S3,Uptown,C081,New,P301,Personal Care,Shampoo 250ml,1,9.26,Cash,0.5,Online
TXN-2025-0192,BILL-1038,28-01-2025,S2,Suburban,C091,Loyal,P401,Beverages,Green Tea,3,2.75,Cash,0,In-store
TXN-2025-0193,BILL-1038,28-01-2025,S3,Uptown,C083,New,P302,Personal Care,Body Wash,5,7.46,UPI,0,In-store
TXN-2025-0194,BILL-1038,08-01-2025,S3,Uptown,C076,Regular,P302,Personal Care,Body Wash,2,4.79,UPI,1,In-store
